Song Name,Original Artist,Times Played,Debut,Last Seen,Current Gap
Summer of '89,Phish,4,2010-06-18,2010-10-12,213
Let Me Lie,Trey Anastasio,8,2009-06-06,2010-08-10,223
Killing in the Name,Rage Against the Machine,1,2010-07-04,2010-07-04,228
I Am the Walrus,The Beatles,1,2010-06-29,2010-06-29,232
Jumpin' Jack Flash,The Rolling Stones,1,2010-06-27,2010-06-27,233
In the Aeroplane Over the Sea,Neutral Milk Hotel,1,2010-06-26,2010-06-26,234
Billie Jean,Michael Jackson,1,2010-06-25,2010-06-25,235
Free Man in Paris,Joni Mitchell,1,2010-06-25,2010-06-25,235
The Rover,Led Zeppelin,1,2010-06-24,2010-06-24,236
Dr. Gabel,Phish,1,2010-06-22,2010-06-22,237
Lit O Bit,Rita Clarke and the Naturals,1,2010-06-22,2010-06-22,237
Cold Water,Tom Waits,1,2010-06-15,2010-06-15,242
Idea,Phish,1,2010-06-15,2010-06-15,242
Look Out Cleveland,The Band,1,2010-06-12,2010-06-12,244
Blue Moon,Rodgers and Hart,1,2009-12-31,2009-12-31,248
Demand,Phish,15,1994-04-09,2009-12-31,248
Dixie Cannonball,Gene Autry,1,2009-12-30,2009-12-30,249
Crimes of the Mind,The Dude of Life (with Phish),7,1991-08-03,2009-11-29,256
Free Bird,Lynyrd Skynyrd,28,1987-03-06,2009-11-29,256
Tomorrow's Song,Phish,1,2009-11-27,2009-11-27,258
Two Versions of Me,Phish,7,2003-07-12,2009-11-27,258
Invisible,Mike Gordon and Leo Kottke,1,2009-11-01,2009-11-01,265
Talk,Phish,14,1996-08-05,2009-11-01,265
All Down the Line,The Rolling Stones,1,2009-10-31,2009-10-31,266
Casino Boogie,The Rolling Stones,1,2009-10-31,2009-10-31,266
Happy,The Rolling Stones,1,2009-10-31,2009-10-31,266
I Just Want To See His Face,The Rolling Stones,1,2009-10-31,2009-10-31,266
Rip This Joint,The Rolling Stones,1,2009-10-31,2009-10-31,266
Rocks Off,The Rolling Stones,1,2009-10-31,2009-10-31,266
Shake Your Hips,Slim Harpo,1,2009-10-31,2009-10-31,266
Soul Survivor,The Rolling Stones,1,2009-10-31,2009-10-31,266
Stop Breaking Down,Robert Johnson,1,2009-10-31,2009-10-31,266
Sweet Black Angel,The Rolling Stones,1,2009-10-31,2009-10-31,266
Tumbling Dice,The Rolling Stones,1,2009-10-31,2009-10-31,266
Turd on the Run,The Rolling Stones,1,2009-10-31,2009-10-31,266
Ventilator Blues,The Rolling Stones,1,2009-10-31,2009-10-31,266
Highway to Hell,AC/DC,77,1989-10-01,2009-08-16,269
I Kissed a Girl,Katy Perry,1,2009-08-16,2009-08-16,269
Middle of the Road,Mike Gordon and Leo Kottke,2,2009-08-08,2009-08-14,271
How High the Moon,Hamilton and Lewis,5,1990-04-21,2009-08-13,272
Windy City,Phish,1,2009-08-11,2009-08-11,273
Drums,Traditional,11,1984-11-03,2009-08-02,277
Hello My Baby,Howard and Emerson,56,1995-09-27,2009-06-18,284
Bobby Jean,Bruce Springsteen & the E Street Band,1,2009-06-14,2009-06-14,286
Glory Days,Bruce Springsteen,1,2009-06-14,2009-06-14,286
Mustang Sally,Mack Rice,9,1986-10-15,2009-06-14,286
When the Cactus is in Bloom,Jimmie Rodgers,1,2009-06-09,2009-06-09,290
She Thinks I Still Care,George Jones,1,2009-03-08,2009-03-08,297
Cool Jerk,The Capitols,1,2004-08-15,2004-08-15,301
Dickie Scotland,Phish,1,2004-08-15,2004-08-15,301
Friday,Phish,12,2003-01-04,2004-08-14,302
Terrapin,Syd Barrett,66,1987-09-21,2004-08-11,305
The Tears of a Clown,Smokey Robinson & The Miracles,1,2004-08-11,2004-08-11,305
99 Problems,Jay-Z,1,2004-06-18,2004-06-18,315
Big Pimpin',Jay-Z,1,2004-06-18,2004-06-18,315
The Little Drummer Boy,"Katherine Davis, Henry Onorati & Harry Simeone",5,1986-12-06,2004-04-16,318
Girls Girls Girls,Jay-Z,1,2004-04-15,2004-04-15,319
Feel the Heat,"""Dirk Diggler,"" ""Reed Rothchild""",1,2003-12-31,2003-12-31,322
Jungle Boogie,Kool and the Gang,1,2003-12-31,2003-12-31,322
L.A. Woman,The Doors,2,2003-12-30,2003-12-30,323
P-Funk Medley,Parliament-Funkadelic,1,2003-12-30,2003-12-30,323
